# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 10K of event 'cpu/mem-loads/pp'
# Total weight : 96938
# Sort order   : (null)
#
# Overhead       Samples  Local Weight             Memory access                  Symbol      Shared Object             Data Symbol             Data Object         Snoop              TLB access  Locked
# ........  ............  ............  ........................  ......................  .................  ......................  ......................  ............  ......................  ......
#
     0.02%             3  7             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e13cd0  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000009a4  a.out              [.] 0x00007fff57e13ce8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e13cf8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000009a3  a.out              [.] 0x00007fff57e13d20  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000009a4  a.out              [.] 0x00007fff57e13d28  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e13d4c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e13d50  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e13d78  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000095f  a.out              [.] 0x00007fff57e13d78  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e13d88  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e13d8c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000009a4  a.out              [.] 0x00007fff57e13da8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e13db4  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000899  a.out              [.] 0x00007fff57e13dc8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000905  a.out              [.] 0x00007fff57e13dc8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e13dcc  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008ea  a.out              [.] 0x00007fff57e13dcc  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000009a3  a.out              [.] 0x00007fff57e13de0  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e13df8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000992  a.out              [.] 0x00007fff57e13df8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e13e08  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008ea  a.out              [.] 0x00007fff57e13e0c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e13e10  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008ae  a.out              [.] 0x00007fff57e13e38  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008dd  a.out              [.] 0x00007fff57e13e38  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000992  a.out              [.] 0x00007fff57e13e38  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000981  a.out              [.] 0x00007fff57e13e48  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000984  a.out              [.] 0x00007fff57e13e48  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e13e4c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000966  a.out              [.] 0x00007fff57e13e50  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000009a4  a.out              [.] 0x00007fff57e13e68  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000941  a.out              [.] 0x00007fff57e13e78  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000899  a.out              [.] 0x00007fff57e13e88  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000911  a.out              [.] 0x00007fff57e13e8c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000009a3  a.out              [.] 0x00007fff57e13ea0  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000009a4  a.out              [.] 0x00007fff57e13ea8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008dd  a.out              [.] 0x00007fff57e13eb8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000905  a.out              [.] 0x00007fff57e13ec8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e13ecc  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000009a3  a.out              [.] 0x00007fff57e13ee0  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000941  a.out              [.] 0x00007fff57e13ef8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e13f08  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000905  a.out              [.] 0x00007fff57e13f08  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e13f0c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000096d  a.out              [.] 0x00007fff57e13f0c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000929  a.out              [.] 0x00007fff57e13f10  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008dd  a.out              [.] 0x00007fff57e13f38  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000992  a.out              [.] 0x00007fff57e13f38  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e13f48  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e13f4c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000911  a.out              [.] 0x00007fff57e13f4c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000934  a.out              [.] 0x00007fff57e13f4c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000905  a.out              [.] 0x00007fff57e13f88  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e13f8c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008ea  a.out              [.] 0x00007fff57e13fcc  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000097e  a.out              [.] 0x00007fff57e13ff4  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000941  a.out              [.] 0x00007fff57e13ff8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000905  a.out              [.] 0x00007fff57e14008  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008dd  a.out              [.] 0x00007fff57e14038  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000899  a.out              [.] 0x00007fff57e14048  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000905  a.out              [.] 0x00007fff57e14048  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1404c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008ae  a.out              [.] 0x00007fff57e14078  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14088  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000984  a.out              [.] 0x00007fff57e14088  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e1408c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000966  a.out              [.] 0x00007fff57e14090  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008ae  a.out              [.] 0x00007fff57e140b8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000091e  a.out              [.] 0x00007fff57e140b8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008f7  a.out              [.] 0x00007fff57e140f8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008bc  a.out              [.] 0x00007fff57e14108  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000899  a.out              [.] 0x00007fff57e14148  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000905  a.out              [.] 0x00007fff57e14148  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008ae  a.out              [.] 0x00007fff57e14178  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008a1  a.out              [.] 0x00007fff57e14188  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000899  a.out              [.] 0x00007fff57e141c8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e141cc  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008ea  a.out              [.] 0x00007fff57e141cc  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14248  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008a1  a.out              [.] 0x00007fff57e14248  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008c9  a.out              [.] 0x00007fff57e14278  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008ae  a.out              [.] 0x00007fff57e142b8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008c9  a.out              [.] 0x00007fff57e142b8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008f7  a.out              [.] 0x00007fff57e142b8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008d0  a.out              [.] 0x00007fff57e1430c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e1438c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008ea  a.out              [.] 0x00007fff57e1438c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008dd  a.out              [.] 0x00007fff57e143b8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000899  a.out              [.] 0x00007fff57e143c8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008bc  a.out              [.] 0x00007fff57e143c8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14408  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008f7  a.out              [.] 0x00007fff57e14438  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000905  a.out              [.] 0x00007fff57e14448  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1444c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14488  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008a1  a.out              [.] 0x00007fff57e14488  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008d0  a.out              [.] 0x00007fff57e1448c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008c9  a.out              [.] 0x00007fff57e144b8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e144cc  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008f7  a.out              [.] 0x00007fff57e144f8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008bc  a.out              [.] 0x00007fff57e14508  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1450c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008d0  a.out              [.] 0x00007fff57e1450c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008ea  a.out              [.] 0x00007fff57e1450c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e1454c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1458c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008dd  a.out              [.] 0x00007fff57e145b8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008f7  a.out              [.] 0x00007fff57e145b8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e145c8  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008c9  a.out              [.] 0x00007fff57e14638  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14648  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000000905  a.out              [.] 0x00007fff57e14648  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x00000000000008ea  a.out              [.] 0x00007fff57e1464c  [stack]                 None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000039e04  libc-2.17.so       [.] 0x00007f2f54d86100  libc-2.17.so            None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000039e06  libc-2.17.so       [.] 0x00007f2f54d86108  libc-2.17.so            None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000039e06  libc-2.17.so       [.] 0x00007f2f54d86138  libc-2.17.so            None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000039e04  libc-2.17.so       [.] 0x00007f2f54d8613c  libc-2.17.so            None          L1 or L2 hit            No    
     0.02%             3  7             L1 hit                    [.] 0x0000000000039e06  libc-2.17.so       [.] 0x00007f2f54d8613c  libc-2.17.so            None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000814  a.out              [.] 0x00007fff57e13cf4  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e13d10  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e13e08  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e13e4c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000814  a.out              [.] 0x00007fff57e13e74  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e13e8c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e13f0c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e13f88  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e13f8c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e13f8c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e13f8c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1400c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000081f  a.out              [.] 0x00007fff57e14038  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e1404c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e1408c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14148  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e14150  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14188  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1418c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e141cc  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e141cc  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e14248  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e1434c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e1438c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e143c8  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e143cc  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14408  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e1440c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e14448  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e14488  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14488  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e1448c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e144c8  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e14508  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1450c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e14548  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14548  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e1454c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e145cc  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  20            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1460c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e13b0c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e13c4c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e13c8c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e13d0c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000081f  a.out              [.] 0x00007fff57e13d38  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000814  a.out              [.] 0x00007fff57e13d74  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000814  a.out              [.] 0x00007fff57e13db4  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000941  a.out              [.] 0x00007fff57e13df8  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e13e08  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000892  a.out              [.] 0x00007fff57e13e10  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000081f  a.out              [.] 0x00007fff57e13e38  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e13e4c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000814  a.out              [.] 0x00007fff57e13e74  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e13e88  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000081f  a.out              [.] 0x00007fff57e13ef8  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e13f0c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000814  a.out              [.] 0x00007fff57e13f34  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e13f4c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e13f4c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e13f88  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e13fcc  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14008  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000081f  a.out              [.] 0x00007fff57e14038  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e1404c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1404c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e1408c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e1408c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1408c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000870  a.out              [.] 0x00007fff57e140cc  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e14108  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14108  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e14148  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e1414c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1414c  [stack]                 None          L1 or L2 hit            No    
     0.02%             1  19            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14188  [stack]                 None          L1 or L2 hit            No    
