# To display the perf.data header info, please use --header/--header-only options.
#
# Samples: 10K of event 'cpu/mem-loads/pp'
# Total weight : 96938
# Sort order   : (null)
#
# Overhead       Samples  Local Weight             Memory access                  Symbol      Shared Object             Data Symbol             Data Object         Snoop              TLB access  Locked
# ........  ............  ............  ........................  ......................  .................  ......................  ......................  ............  ......................  ......
#
     0.14%            19  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e14238  [stack]                 None          L1 or L2 hit            No    
     0.14%            19  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e142b8  [stack]                 None          L1 or L2 hit            No    
     0.14%            19  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e14334  [stack]                 None          L1 or L2 hit            No    
     0.14%            19  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e14378  [stack]                 None          L1 or L2 hit            No    
     0.14%            19  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e145b8  [stack]                 None          L1 or L2 hit            No    
     0.14%            19  7             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e14650  [stack]                 None          L1 or L2 hit            No    
     0.14%            11  12            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e1430c  [stack]                 None          L1 or L2 hit            No    
     0.14%            11  12            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1448c  [stack]                 None          L1 or L2 hit            No    
     0.13%             9  14            L1 hit                    [.] 0x00000000000008fe  a.out              [.] 0x00007fff57e145d8  [stack]                 None          L1 or L2 hit            No    
     0.13%            18  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e141f8  [stack]                 None          L1 or L2 hit            No    
     0.13%            18  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e14278  [stack]                 None          L1 or L2 hit            No    
     0.13%            18  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e14378  [stack]                 None          L1 or L2 hit            No    
     0.13%            18  7             L1 hit                    [.] 0x0000000000000887  a.out              [.] 0x00007fff57e14578  [stack]                 None          L1 or L2 hit            No    
     0.13%            18  7             L1 hit                    [.] 0x000000000000083c  a.out              [.] 0x00007fff57e14588  [stack]                 None          L1 or L2 hit            No    
     0.13%             1  122           L1 hit                    [k] 0xffffffff81183a30  [kernel.kallsyms]  [k] 0xffffea00197694c0  [kernel.kallsyms]       None          L1 or L2 hit            No    
     0.12%            10  12            L1 hit                    [.] 0x000000000000087a  a.out              [.] 0x00007fff57e1410c  [stack]                 None          L1 or L2 hit            No    
     0.12%            10  12            L1 hit                    [.] 0x0000000000000874  a.out              [.] 0x00007fff57e1418c  [stack]                 None          L1 or L2 hit            No    
     0.12%            10  12            L1 hit                    [.] 0x000000000000084b  a.out              [.] 0x00007fff57e14308  [stack]                 None          L1 or L2 hit            No    
     0.12%            17  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e140b4  [stack]                 None          L1 or L2 hit            No    
     0.12%            17  7             L1 hit                    [.] 0x0000000000000858  a.out              [.] 0x00007fff57e140f8  [stack]                 None          L1 or L2 hit            No    
     0.12%            17  7             L1 hit                    [.] 0x0000000000000840  a.out              [.] 0x00007fff57e14174  [stack]                 None          L1 or L2 hit            No    
     0.12%            17  7             L1 hit                    [.] 0x0000000000000863  a.out              [.] 0x00007fff57e14290  [stack]                 None          L1 or L2 hit            No    
